abandon	abandon [ə'bændən] (動) 放棄；拋棄
moving	moving ['muvɪŋ] (形) 感人的；令人感動的　(動) 移動；搬家
mow	mow ['mo] (動) 剪草；割草
mower	mower ['moɚɚ] (名) 割草機；修剪機
much	much ['mʌtʃ] (形) 許多的；大量的　(副) 非常；很　(代) 許多；大量
mucus	mucus ['mjukəs] (名) 黏液；鼻涕
mud	mud ['mʌd] (名) 泥巴；泥漿　(動) 弄髒；使混亂
muddle	muddle ['mʌdəl] (動) 使混亂；弄混　(名) 混亂的狀態
muddy	muddy ['mʌdi] (形) 泥濘的；混濁的　(動) 弄髒；攪渾
muffle	muffle ['mʌfəl] (動) 用布料包裹以減弱聲音；掩蓋　(形) 被包裹的；被壓制的
muffler	muffler ['mʌflɚ] (名) 消音器；靜音裝置　(名) 圍巾；披肩
mug	mug ['mʌg] (名) 馬克杯；杯子　(動) 搶劫；打擊
muggy	muggy ['mʌɡi] (形) 悶熱的；潮濕悶熱的
mule	mule ['mjul] (名) 騾；固執的人
mull	mull ['mʌl] (動) 仔細思考；深思　(動) 反覆考慮；琢磨
multilateral	multilateral [ˌmʌltɪ'lætərəl] (形) 多邊的；多國參與的
multilingual	multilingual [ˌmʌltɪ'lɪŋɡwəl] (形) 多語言的；通曉多種語言的
multimedia	multimedia [ˌmʌltɪ'midɪə] (名) 多媒體；多種媒體形式
multinational	multinational [ˌmʌl.tɪ'næʃ.ə.nəl] (形) 跨國的；多國的　(形) 涉及多個國家的
multiple	multiple ['mʌltəpəl] (形) 多個的；多重的　(名) 倍數；多重項
multiplication	multiplication [ˌmʌltɪplɪ'keʃən] (名) 乘法；倍增
multiply	multiply ['mʌltəˌplaɪ] (動) 乘以；相乘　(動) 增加；繁殖
multitask	multitask ['mʌltiˌtæsk] (動) 同時處理多項工作；一心多用
multitasking	multitasking ['mʌltiˌtæskɪŋ] (名) 同時處理多項工作；多工
multitude	multitude ['mʌlti.tud] (名) 大量；眾多　(名) 群眾；大批人群
mumble	mumble ['mʌm.bl̩] (動) 含糊地說；咕噥　(名) 含糊的聲音；低聲說話
mumps	mumps ['mʌmps] (名) 腮腺炎；流行性腮腺炎
munch	munch ['mʌntʃ] (動) 咀嚼；大口吃　(動) 發出咀嚼聲
mundane	mundane [mʌn'den] (形) 平凡的；單調的　(形) 日常的；普通的
municipal	municipal [mju'nɪsəpl] (形) 市政的；市立的　(形) 地方政府的；城市的
mural	mural ['mjurəl] (名) 壁畫；牆上的畫　(形) 牆壁的；壁的
murder	murder ['mɝdɚ] (名) 謀殺；兇殺　(動) 謀殺；兇殺
murderer	murderer ['mɝdɚɚ] (名) 謀殺犯；殺人兇手
murk	murk ['mɝk] (動) 使混濁；弄髒　(形) 黑暗的；模糊的
murky	murky ['mɝki] (形) 陰暗的；模糊的　(形) 渾濁的；不清澈的
murmur	murmur ['mɝmɚ] (動) 低聲說話；嘀咕　(名) 低聲的說話；嘟囔聲
muscle	muscle ['mʌsəl] (名) 肌肉；肌肉組織　(名) 力量；體力
muscular	muscular ['mʌskjəlɚ] (形) 肌肉發達的；強健的
muse	muse ['mjuz] (動) 沉思；冥想　(名) 繆思；靈感女神
museum	museum [mju'zɪəm] (名) 博物館；美術館
mushroom	mushroom ['mʌʃrum] (名) 蘑菇；菌類　(動) 迅速增長；蓬勃發展
mushy	mushy ['mʌʃi] (形) 軟爛的；感傷的；多愁善感的
music	music ['mjuzɪk] (名) 音樂；樂曲　(動) 為…譜曲
musical	musical ['mju:zɪkəl] (形) 音樂的；有音樂天賦的　(名) 音樂劇；歌舞劇
musician	musician ['mjuzɪʃən] (名) 音樂家；音樂人
Muslim	Muslim ['mʊzləm] (名) 穆斯林；伊斯蘭教信徒
mussel	mussel ['mʌsəl] (名) 貽貝；淡菜　(名) 肌肉
must	must ['mʌst] (助) 必須；一定　(動) 必定；應該
mustache	mustache ['mʌstæʃ] (名) 鬍子；八字鬍
mustard	mustard ['mʌstɚd] (名) 芥末；黃色調料　(形) 芥末色的；黃褐色的
mustnt	mustnt ['mʌstˌnɑt] (助) 一定不；千萬別
mutant	mutant ['mju tənt] (名) 突變體；變種生物　(形) 變異的；突變的
mutate	mutate ['mjuːteɪt] (動) 突變；改變　(動) 使發生突變
mutation	mutation ['mjuːteʃən] (名) 突變；變異　(名) 基因突變；遺傳變化
mute	mute ['mjut] (形) 沉默的；無聲的　(動) 使沉默；消音
mutilate	mutilate ['mjutəleɪt] (動) 殘害；毀損　(動) 切斷；截肢
mutter	mutter ['mʌtɚ] (動) 低聲說話；嘀咕　(名) 低聲的抱怨
mutton	mutton ['mʌtən] (名) 羊肉（來自成年綿羊）
mutual	mutual ['mju tʃuəl] (形) 相互的；彼此的　(形) 共同的；雙方的
mutually	mutually ['mju∫uəli] (副) 相互地；互相地　彼此地；相互之間
myopia	myopia [maɪ'opiə] (名) 近視；目光短淺
myriad	myriad ['mɪrɪəd] (名) 極多的數量；無數　(形) 無數的；極多的
mysterious	mysterious [mɪ'stɪrɪəs] (形) 神祕的；謎一樣的　(形) 難以理解的；隱祕的
mysteriously	mysteriously [mɪs'tɪriəsli] (副) 神秘地；詭秘地　以神祕或不清楚的方式
mystery	mystery ['mɪstɚi] (名) 謎；神祕的事物　(形) 神祕的；難以理解的
mystic	mystic ['mɪstɪk] (形) 神祕的；奧祕的　(名) 神祕主義者；靈性修行者
mystical	mystical ['mɪstɪkəl] (形) 神祕的；奧祕的　(形) 靈性的；超自然的
mystique	mystique [mɪ'stik] (名) 神祕感；魅力　(形) 神祕的；難以理解的
myth	myth ['mɪθ] (名) 神話；傳說　(名) 虛假的信念；謊言
mythic	mythic ['mɪθɪk] (形) 神話的；傳說的　(形) 虛構的；想像的
mythical	mythical ['mɪθɪkəl] (形) 神話的；傳說的　(形) 虛構的；想像的
mythology	mythology [mɪ'θɑlədʒi] (名) 神話；神話故事　(名) 神話體系；傳說
nadir	nadir ['nædɚ] (名) 最低點；最差時期　(名) 天底點；對點
nag	nag ['næg] (動) 嘮叨；煩擾　(名) 愛嘮叨的人
nail	nail [neɪl] (名) 釘子；指甲　(動) 釘；固定
naive	naive ['naɪv] (形) 天真的；單純的　(形) 缺乏經驗的；幼稚的
naively	naively ['neɪvli] (副) 天真地；幼稚地　(副) 輕信地；不懷疑地
naked	naked ['nekɪd] (形) 赤裸的；裸露的　(形) 無防護的；無掩飾的
Name	Name ['nem] (名) 名字；名稱　(動) 命名；取名
name	name ['nem] (名) 名字；名稱　(動) 命名；取名
named	named ['nemd] (動) 命名；取名　(形) 被命名的；有名字的
namely	namely ['nem.li] (副) 也就是說；即　(連) 即；也就是
nanny	nanny ['nænɪ] (名) 保姆；褓姆　(動) 照顧小孩
nap	nap ['næp] (名) 小睡；打盹　(動) 打盹；小睡
napkin	napkin ['næpkɪn] (名) 餐巾；餐紙　(名) 衛生紙；紙巾
narcissism	narcissism ['nɑrsɪˌsɪzəm] (名) 自戀；自我中心
narcissus	narcissus ['nɑrsɪsəs] (名) 水仙花；自戀者
narrate	narrate ['nærəˌtet] (動) 敘述；講述　(動) 旁白；配音解說
narrative	narrative ['nærətɪv] (名) 敘述；故事　(形) 敘述的；故事性的
narrator	narrator ['nɛretɚ] (名) 敘述者；旁白者　(名) 講述故事的人
narrow	narrow ['nɛro] (形) 狹窄的；狹隘的　(動) 縮小；變窄
narrowly	narrowly ['nɛroʊli] (副) 勉強地；差一點　(副) 狹窄地；局限地
nasal	nasal ['nezəl] (形) 鼻的；鼻音的　(名) 鼻音
nasty	nasty ['næsti] (形) 令人厭惡的；討厭的　(形) 惡劣的；不愉快的
nation	nation ['næʃən] (名) 國家；民族
national	national ['næʃənəl] (形) 國家的；民族的　(形) 全國的；國內的
nationalism	nationalism ['næʃənəlɪzəm] (名) 民族主義；國家主義
nationalist	nationalist ['næʃənəlɪst] (名) 民族主義者；國家主義者　(形) 民族主義的；國家主義的
nationality	nationality ['næʃənəlɪtɪ] (名) 國籍；國民身份　(名) 民族；國民性
nationwide	nationwide ['neʃənˌwad] (形) 全國的；遍及全國的　(副) 在全國範圍內
native	native ['netɪv] (形) 本地的；本國的　(名) 本地人；原住民
natural	natural ['nætʃɚəl] (形) 自然的；天然的　(形) 正常的；自然而然的
naturalist	naturalist ['nætʃɚəlɪst] (名) 自然學家；博物學家　(名) 裸體主義者
naturally	naturally ['nætʃɚəlɪ] (副) 自然地；當然　(副) 天生地；與生俱來地
nature	nature ['nɛtʃɚ] (名) 自然；大自然　(名) 本性；特性
naughty	naughty ['nɔti] (形) 調皮的；淘氣的　(形) 不聽話的；頑皮的
nausea	nausea ['nɔʃə] (名) 噁心；想吐　(動) 使噁心；使厭煩
nautical	nautical ['nɔtɪkəl] (形) 航海的；船舶的　與航海或船隻有關的
naval	naval ['nevəl] (形) 海軍的；軍艦的
navel	navel ['nevəl] (名) 肚臍；臍部
navigate	navigate ['nævɪˌget] (動) 航行；導航　航行；駕駛
navigation	navigation [ˌnævə'ɡeʃən] (名) 導航；航海　(名) 船舶航行；飛行
navigator	navigator ['nævɪɡetɚ] (名) 航海者；導航員　(名) 導航系統；衛星定位器
navy	navy ['nɛvi] (名) 海軍；艦隊　(形) 深藍色的；海軍的
Nazi	Nazi ['nɑtsi] (名) 納粹黨人；納粹主義者　(形) 納粹的；法西斯的
near	near ['nɪr] (形) 靠近的；接近的　(介) 在...附近；靠近
nearby	nearby ['nɪrˌbaɪ] (形) 附近的；鄰近的　(副) 在附近；靠近
nearly	nearly ['nɪrli] (副) 幾乎；差不多　(副) 接近；靠近
nearsighted	nearsighted ['nɪrˌsaɪtəd] (形) 近視的；目光短淺的
nearsightedness	nearsightedness ['nɪrˌsaɪtɪdnɪs] (名) 近視；近視眼
neat	neat ['nit] (形) 整潔的；乾淨的　(形) 巧妙的；靈巧的
necessarily	necessarily [nə'sɛsərəli] (副) 必然地；必定　(副) 必要地；不得不
necessary	necessary ['nɛsəsɛri] (形) 必要的；需要的　(形) 不可避免的；必然的
necessitate	necessitate [nə'sɛsəˌtet] (動) 需要；必需　使成為必要
necessity	necessity [nə'sɛsəti] (名) 必需；必要性　(名) 必需品；生活必需物
neck	neck ['nɛk] (名) 脖子；頸部　(名) 衣領；領口
necklace	necklace ['nɛkləs] (名) 項鍊；頸飾
necktie	necktie ['nɛkˌta͡ɪ] (名) 領帶；頸帶
nectar	nectar ['nɛktɚ] (名) 花蜜；甘露　(名) 神酒；美酒
need	need ['nid] (動) 需要；必須　(名) 需要；必需品
needle	needle ['nɛdəl] (名) 針；針頭　(動) 用針刺；慢慢推進
needless	needless ['nidləs] (形) 不必要的；不需要的
needy	needy ['nidi] (形) 需要幫助的；貧困的　(形) 過度依賴他人的；黏人的
nefarious	nefarious [nɪ'fɛriəs] (形) 邪惡的；罪惡的　(形) 危害的；有害的
negate	negate [nɪ'geɪt] (動) 否定；駁斥　(動) 抵消；使無效
negative	negative ['nɛgətɪv] (形) 否定的；消極的　(名) 否定；負面的事物
neglect	neglect [nɪ'glɛkt] (動) 忽視；疏忽　(名) 疏忽；忽視
neglectful	neglectful [nɪ'glɛktfəl] (形) 疏忽的；不細心的　(形) 怠慢的；不負責任的
neglectfully	neglectfully [nɪ'glɛktfəlɪ] (副) 疏忽地；不謹慎地　粗心地；漫不經心地
negligence	negligence ['nɛglɪdʒəns] (名) 疏忽；過失　(名) 不小心；粗心
negligent	negligent ['nɛglɪdʒənt] (形) 疏忽的；不小心的　(形) 草率的；馬虎的
negligible	negligible ['nɛglɪdʒəbl] (形) 可以忽略的；微不足道的　(形) 極少的；不重要的
negotiate	negotiate [nɪ'goʃiɛt] (動) 談判；協商　(動) 克服；度過
negotiation	negotiation [nɪ'goʃɪeʃən] (名) 協商；談判　(動) 進行談判；協商
negotiator	negotiator [nɪ'goʃɪetɚ] (名) 談判者；協商人　(名) 協商代表；仲介人
neighbor	neighbor ['nɛbɚ] (名) 鄰居；隔壁的人　(動) 與...相鄰；毗鄰
neighborhood	neighborhood ['neɪbɚˌhʊd] (名) 鄰近地區；社區　(名) 鄰近的人；鄰居
neighboring	neighboring ['nɛbɚˌhoʊdɪŋ] (形) 相鄰的；鄰近的　(名) 鄰近地區；相鄰的事物
neither	neither ['naɪðɚ] (形) 兩個都不；都不是　(連) 也不；既不
nemesis	nemesis ['nɛməsɪs] (名) 宿敵；克星　(名) 報應；懲罰
neon	neon ['niɑn] (名) 霓虹；霓虹燈　(形) 霓虹色的；鮮豔的
nephew	nephew ['nɛfu] (名) 外甥；侄子
nepotism	nepotism ['nɛpətɪzəm] (名) 裙帶關係；用人唯親
nerd	nerd ['nɝd] (名) 書呆子；不善社交的人　(形) 書呆子的；沉迷於學習的
nerve-wracking	nerve-wracking ['nɝv 'ræk.ɪŋ] (形) 令人極度緊張的；讓人感到焦慮不安的
nerve	nerve ['nɝv] (名) 神經；勇氣　(動) 鼓起勇氣；使膽怯
nervous	nervous ['nɝvəs] (形) 緊張的；不安的　(形) 膽小的；害怕的
nervousness	nervousness ['nɝvəsnɪs] (名) 緊張；神經質　(名) 不安；焦慮
nest	nest [nɛst] (名) 巢；窩　(動) 築巢；嵌入
nestle	nestle ['nɛsl̩] (動) 舒適地依靠；窩著　(動) 靠近；親密接觸
net	net [nɛt] (名) 網；網子　(動) 用網捕捉；獲得淨利　(形) 淨的；純的
netizen	netizen ['nɛtɪzən] (名) 網民；網路使用者
network	network ['nɛtwɝk] (名) 網絡；網路　(動) 建立關係；交際
networking	networking ['nɛtˌwɝkɪŋ] (名) 人脈建立；網路交流　(動) 建立人脈；進行網路交流
neurologist	neurologist [njuɚ'ɑlədʒɪst] (名) 神經科醫生；腦科專家
neuter	neuter ['njuːtɚ] (動) 閹割；使成無性別　(形) 中性的；無性別的
neutral	neutral ['nu:tʃəl] (形) 中立的；不偏不倚　(形) 中性的；無色的
neutron	neutron ['nutɹɑn] (名) 中子；(物理學中原子核內不帶電的粒子)
never	never ['nɛvɚ] (副) 從不；決不　(副) 絕不會
neverending	neverending [ˌnɛvɚ'ɛndɪŋ] (形) 無盡的；永無止境的　(形) 連續不斷的；不停止的
nevertheless	nevertheless [nɛvɚ'ðəlɛs] (副) 然而；不過　(連) 儘管如此；但是
new	new [nju] (形) 新的；嶄新的　(形) 陌生的；不熟悉的
newcomer	newcomer ['nuˌkʌmɚ] (名) 新來的人；新手　(名) 初入者；剛到的人
newly	newly ['nuli] (副) 最近；新近　(形) 新的；剛成立的
newlywed	newlywed ['njulɪˌwɛd] (形) 新婚的；剛結婚的
news	news ['njuz] (名) 新聞；消息　(名) 新的或重要的信息
newscast	newscast ['njuzkæst] (名) 新聞播報；新聞節目
newscaster	newscaster ['njuzkæstɚ] (名) 新聞播報員；新聞主播
newspaper	newspaper ['njuzpeɪpɚ] (名) 報紙；新聞紙
newsreel	newsreel ['nuzril] (名) 新聞短片；新聞影片
newsstand	newsstand ['njuzstænd] (名) 報紙雜誌攤；書報攤
newsworthy	newsworthy ['nuzwɝðɪ] (形) 值得報導的；具新聞價值的
next	next ['nɛkst] (形) 下一個的；隔壁的　(副) 其次；然後　(名) 下一個人或事物
niacin	niacin ['naɪəsɪn] (名) 菸鹼酸；維生素B3
nibble	nibble ['nɪbəl] (動) 輕咬；小口咬　(名) 小咬一口；少量食物
nice	nice ['naɪs] (形) 令人愉快的；美好的　(形) 親切的；友善的
niche	niche ['nɪʃ] (名) 利基市場；專業領域　(名) 合適的位置；棲息地
nick	nick [nɪk] (名) 小傷口；刻痕　(動) 割傷；刻下
nickel	nickel ['nɪkəl] (名) 鎳；五分硬幣
nickname	nickname ['nɪkneɪm] (名) 暱稱；綽號　(動) 給…起綽號；稱呼
niece	niece ['nɪs] (名) 外甥女；侄女
night	night ['naɪt] (名) 夜晚；夜間　(形) 夜間的；黑暗的
nightclub	nightclub ['naɪt͵klʌb] (名) 夜間俱樂部；夜店
nightingale	nightingale ['naɪtɪŋ͵gel] (名) 夜鶯；夜鶯鳥
nightly	nightly ['naɪtli] (副) 每晚；夜間地　(形) 每夜的；夜間的
nightmare	nightmare ['naɪtmɛr] (名) 噩夢；惡夢　(名) 令人極度困擾的事物
nightmarish	nightmarish ['naɪtmɛrɪʃ] (形) 像惡夢一樣的；恐怖的　(形) 令人極度不安的；可怕的
nil	nil ['nɪl] (名) 無；零　(形) 毫無的；沒有的
nimble	nimble ['nɪmbəl] (形) 靈活的；敏捷的　(形) 聰慧的；機靈的
nimbleness	nimbleness ['nɪmbəlnɪs] (名) 靈活；敏捷　(名) 輕快；迅速
nine	nine ['naɪn] (名) 九；九個　(形) 九的；九個的
nineteen	nineteen [naɪn'tin] (名) 十九；19　(形) 十九的
ninety	ninety ['naɪnti] (名) 九十；九十個　(形) 九十的
ninth	ninth ['naɪnθ] (序數) 第九；第九個
nip	nip ['nɪp] (動) 掐；夾；咬　(動) 及時制止；阻止
nitrate	nitrate ['naɪtret] (名) 硝酸鹽；硝酸類肥料　(動) 用硝酸鹽處理；硝化
nitrogen	nitrogen ['naɪtrədʒən] (名) 氮；氮氣
nix	nix ['nɪks] (動) 取消；否決　(動) 拒絕；駁回
no-brainer	no-brainer ['no-ˌbreɪnɚ] (名) 顯而易見的選擇；輕而易舉的決定
no-confidence	no-confidence ['noʊ 'kɑnfɪdɛns] (名) 不信任；不信心　(形) 不信任的；表示反對的
no-frills	no-frills [no'frɪlz] (形) 簡樸的；基本的，不含額外服務或裝飾的
no	no [no] (形) 沒有的；無　(副) 不；沒有　(名) 否定；拒絕
nobility	nobility ['noʊbɪlɪti] (名) 貴族身份；高貴　(名) 高尚品格；崇高
noble	noble ['nobəl] (形) 高尚的；崇高的　(形) 貴族的；出身高貴的
nobody	nobody ['nobɑdi] (代) 沒有人；無人　(名) 無名小卒；小人物
nocturia	nocturia [nɑk'tjʊrɪə] (名) 夜間頻尿；夜尿症
nocturnal	nocturnal [nɑk'tɝnəl] (形) 夜間的；夜行的
nocturne	nocturne ['nɑktɚn] (名) 夜曲；夜間場景　(形) 夜間的；與夜晚有關的
nod	nod [nɑd] (動) 點頭；表示同意　(名) 點頭的動作
nofrills	nofrills [no'frɪlz] (形) 簡樸的；無裝飾的　(名) 簡樸商品；便宜貨
noise	noise ['nɔɪz] (名) 噪音；雜音　(動) 傳播；宣揚
noisy	noisy ['nɔɪzɪ] (形) 吵雜的；喪雜的　(形) 嘈雜的；充滿噪音的
nomadic	nomadic [no'mædɪk] (形) 遊牧的；流動的　(形) 居無定所的；四處漂泊的
